m,M,blocked,target,reach_count,nonzero_weights
2,230,0,3,6,"81:22;121:3;162:11"
3,230,0,3,6,"81:22;121:3;162:11"
4,230,0,3,6,"81:22;121:3;162:11"
5,230,0,3,6,"81:22;121:3;162:11"
6,230,0,3,6,"81:22;121:3;162:11"
7,230,0,3,6,"81:22;121:3;162:11"
8,230,0,3,6,"81:22;121:3;162:11"
9,230,0,3,6,"81:22;121:3;162:11"
10,230,0,3,6,"81:22;121:3;162:11"
11,230,0,3,6,"81:22;121:3;162:11"
12,230,0,3,6,"81:22;121:3;162:11"
13,230,0,3,6,"81:22;121:3;162:11"
14,230,0,3,6,"81:22;121:3;162:11"
15,230,0,3,6,"81:22;121:3;162:11"
16,230,0,3,6,"81:22;121:3;162:11"
17,230,0,3,6,"81:22;121:3;162:11"
18,230,0,3,6,"81:22;121:3;162:11"
19,230,0,3,6,"81:22;121:3;162:11"
20,230,0,3,6,"81:22;121:3;162:11"
21,230,0,3,6,"81:22;121:3;162:11"
22,230,0,3,6,"81:22;121:3;162:11"
23,230,0,3,6,"81:22;121:3;162:11"
24,230,0,3,6,"81:22;121:3;162:11"
25,230,0,3,6,"81:22;121:3;162:11"
26,230,0,3,6,"81:22;121:3;162:11"
27,230,0,3,6,"81:22;121:3;162:11"
28,230,0,3,6,"81:22;121:3;162:11"
29,230,0,3,6,"81:22;121:3;162:11"
30,230,0,3,6,"81:22;121:3;162:11"
31,230,0,3,6,"81:22;121:3;162:11"
32,230,0,3,6,"81:22;121:3;162:11"
33,230,0,3,6,"81:22;121:3;162:11"
34,230,0,3,6,"81:22;121:3;162:11"
35,230,0,3,6,"81:22;121:3;162:11"
36,230,0,3,6,"81:22;121:3;162:11"
37,230,0,3,6,"81:22;121:3;162:11"
38,230,0,3,6,"81:22;121:3;162:11"
39,230,0,3,6,"81:22;121:3;162:11"
40,230,0,3,6,"81:22;121:3;162:11"
41,230,0,3,6,"81:22;121:3;162:11"
42,230,0,3,6,"81:22;121:3;162:11"
43,230,0,3,6,"81:22;121:3;162:11"
44,230,0,3,6,"81:22;121:3;162:11"
45,230,0,3,6,"81:22;121:3;162:11"
46,230,0,3,6,"81:22;121:3;162:11"
47,230,0,3,6,"81:22;121:3;162:11"
48,230,0,3,6,"81:22;121:3;162:11"
49,230,0,3,6,"81:22;121:3;162:11"
50,230,0,3,6,"81:22;121:3;162:11"
51,230,0,3,6,"81:22;121:3;162:11"
52,230,0,3,6,"81:22;121:3;162:11"
53,230,0,3,6,"81:22;121:3;162:11"
54,230,0,3,6,"81:22;121:3;162:11"
55,230,0,3,6,"81:22;121:3;162:11"
56,230,0,3,6,"81:22;121:3;162:11"
57,230,0,3,6,"81:22;121:3;162:11"
58,230,0,3,6,"81:22;121:3;162:11"
59,230,0,3,6,"81:22;121:3;162:11"
60,230,0,3,6,"81:22;121:3;162:11"
61,230,0,3,6,"81:22;121:3;162:11"
62,230,0,3,6,"81:22;121:3;162:11"
63,230,0,3,6,"81:22;121:3;162:11"
64,230,0,3,6,"81:22;121:3;162:11"
65,230,0,3,6,"81:22;121:3;162:11"
66,230,0,3,6,"81:22;121:3;162:11"
67,230,0,3,6,"81:22;121:3;162:11"
68,230,0,3,6,"81:22;121:3;162:11"
69,230,0,3,6,"81:22;121:3;162:11"
70,230,0,3,6,"81:22;121:3;162:11"
71,230,0,3,6,"81:22;121:3;162:11"
72,230,0,3,6,"81:22;121:3;162:11"
73,230,0,3,6,"81:22;121:3;162:11"
74,230,0,3,6,"81:22;121:3;162:11"
75,230,0,3,6,"81:22;121:3;162:11"
76,230,0,3,6,"81:22;121:3;162:11"
77,230,0,3,6,"81:22;121:3;162:11"
78,230,0,3,6,"81:22;121:3;162:11"
79,230,0,3,6,"81:22;121:3;162:11"
80,230,0,3,6,"81:22;121:3;162:11"
81,230,0,3,4,"81:22;121:3;162:11"
82,230,0,14,4,"121:3;162:11"
83,230,0,14,4,"121:3;162:11"
84,230,0,14,4,"121:3;162:11"
85,230,0,14,4,"121:3;162:11"
2,231,0,3,6,"81:22;121:3;162:11"
3,231,0,3,6,"81:22;121:3;162:11"
4,231,0,3,6,"81:22;121:3;162:11"
5,231,0,3,6,"81:22;121:3;162:11"
6,231,0,3,6,"81:22;121:3;162:11"
7,231,0,3,6,"81:22;121:3;162:11"
8,231,0,3,6,"81:22;121:3;162:11"
9,231,0,3,6,"81:22;121:3;162:11"
10,231,0,3,6,"81:22;121:3;162:11"
11,231,0,3,6,"81:22;121:3;162:11"
12,231,0,3,6,"81:22;121:3;162:11"
13,231,0,3,6,"81:22;121:3;162:11"
14,231,0,3,6,"81:22;121:3;162:11"
15,231,0,3,6,"81:22;121:3;162:11"
16,231,0,3,6,"81:22;121:3;162:11"
17,231,0,3,6,"81:22;121:3;162:11"
18,231,0,3,6,"81:22;121:3;162:11"
19,231,0,3,6,"81:22;121:3;162:11"
20,231,0,3,6,"81:22;121:3;162:11"
21,231,0,3,6,"81:22;121:3;162:11"
22,231,0,3,6,"81:22;121:3;162:11"
23,231,0,3,6,"81:22;121:3;162:11"
24,231,0,3,6,"81:22;121:3;162:11"
25,231,0,3,6,"81:22;121:3;162:11"
26,231,0,3,6,"81:22;121:3;162:11"
27,231,0,3,6,"81:22;121:3;162:11"
28,231,0,3,6,"81:22;121:3;162:11"
29,231,0,3,6,"81:22;121:3;162:11"
30,231,0,3,6,"81:22;121:3;162:11"
31,231,0,3,6,"81:22;121:3;162:11"
32,231,0,3,6,"81:22;121:3;162:11"
33,231,0,3,6,"81:22;121:3;162:11"
34,231,0,3,6,"81:22;121:3;162:11"
35,231,0,3,6,"81:22;121:3;162:11"
36,231,0,3,6,"81:22;121:3;162:11"
37,231,0,3,6,"81:22;121:3;162:11"
38,231,0,3,6,"81:22;121:3;162:11"
39,231,0,3,6,"81:22;121:3;162:11"
40,231,0,3,6,"81:22;121:3;162:11"
41,231,0,3,6,"81:22;121:3;162:11"
42,231,0,3,6,"81:22;121:3;162:11"
43,231,0,3,6,"81:22;121:3;162:11"
44,231,0,3,6,"81:22;121:3;162:11"
45,231,0,3,6,"81:22;121:3;162:11"
46,231,0,3,6,"81:22;121:3;162:11"
47,231,0,3,6,"81:22;121:3;162:11"
48,231,0,3,6,"81:22;121:3;162:11"
49,231,0,3,6,"81:22;121:3;162:11"
50,231,0,3,6,"81:22;121:3;162:11"
51,231,0,3,6,"81:22;121:3;162:11"
52,231,0,3,6,"81:22;121:3;162:11"
53,231,0,3,6,"81:22;121:3;162:11"
54,231,0,3,6,"81:22;121:3;162:11"
55,231,0,3,6,"81:22;121:3;162:11"
56,231,0,3,6,"81:22;121:3;162:11"
57,231,0,3,6,"81:22;121:3;162:11"
58,231,0,3,6,"81:22;121:3;162:11"
59,231,0,3,6,"81:22;121:3;162:11"
60,231,0,3,6,"81:22;121:3;162:11"
61,231,0,3,6,"81:22;121:3;162:11"
62,231,0,3,6,"81:22;121:3;162:11"
63,231,0,3,6,"81:22;121:3;162:11"
64,231,0,3,6,"81:22;121:3;162:11"
65,231,0,3,6,"81:22;121:3;162:11"
66,231,0,3,6,"81:22;121:3;162:11"
67,231,0,3,6,"81:22;121:3;162:11"
68,231,0,3,6,"81:22;121:3;162:11"
69,231,0,3,6,"81:22;121:3;162:11"
70,231,0,3,6,"81:22;121:3;162:11"
71,231,0,3,6,"81:22;121:3;162:11"
72,231,0,3,6,"81:22;121:3;162:11"
73,231,0,3,6,"81:22;121:3;162:11"
74,231,0,3,6,"81:22;121:3;162:11"
75,231,0,3,6,"81:22;121:3;162:11"
76,231,0,3,6,"81:22;121:3;162:11"
77,231,0,3,6,"81:22;121:3;162:11"
78,231,0,3,6,"81:22;121:3;162:11"
79,231,0,3,6,"81:22;121:3;162:11"
80,231,0,3,6,"81:22;121:3;162:11"
81,231,0,3,4,"81:22;121:3;162:11"
82,231,0,14,4,"121:3;162:11"
83,231,0,14,4,"121:3;162:11"
84,231,0,14,4,"121:3;162:11"
85,231,0,14,4,"121:3;162:11"
2,232,0,3,6,"81:22;121:3;162:11"
3,232,0,3,6,"81:22;121:3;162:11"
4,232,0,3,6,"81:22;121:3;162:11"
5,232,0,3,6,"81:22;121:3;162:11"
6,232,0,3,6,"81:22;121:3;162:11"
7,232,0,3,6,"81:22;121:3;162:11"
8,232,0,3,6,"81:22;121:3;162:11"
9,232,0,3,6,"81:22;121:3;162:11"
10,232,0,3,6,"81:22;121:3;162:11"
11,232,0,3,6,"81:22;121:3;162:11"
12,232,0,3,6,"81:22;121:3;162:11"
13,232,0,3,6,"81:22;121:3;162:11"
14,232,0,3,6,"81:22;121:3;162:11"
15,232,0,3,6,"81:22;121:3;162:11"
16,232,0,3,6,"81:22;121:3;162:11"
17,232,0,3,6,"81:22;121:3;162:11"
18,232,0,3,6,"81:22;121:3;162:11"
19,232,0,3,6,"81:22;121:3;162:11"
20,232,0,3,6,"81:22;121:3;162:11"
21,232,0,3,6,"81:22;121:3;162:11"
22,232,0,3,6,"81:22;121:3;162:11"
23,232,0,3,6,"81:22;121:3;162:11"
24,232,0,3,6,"81:22;121:3;162:11"
25,232,0,3,6,"81:22;121:3;162:11"
26,232,0,3,6,"81:22;121:3;162:11"
27,232,0,3,6,"81:22;121:3;162:11"
28,232,0,3,6,"81:22;121:3;162:11"
29,232,0,3,6,"81:22;121:3;162:11"
30,232,0,3,6,"81:22;121:3;162:11"
31,232,0,3,6,"81:22;121:3;162:11"
32,232,0,3,6,"81:22;121:3;162:11"
33,232,0,3,6,"81:22;121:3;162:11"
34,232,0,3,6,"81:22;121:3;162:11"
35,232,0,3,6,"81:22;121:3;162:11"
36,232,0,3,6,"81:22;121:3;162:11"
37,232,0,3,6,"81:22;121:3;162:11"
38,232,0,3,6,"81:22;121:3;162:11"
39,232,0,3,6,"81:22;121:3;162:11"
40,232,0,3,6,"81:22;121:3;162:11"
41,232,0,3,6,"81:22;121:3;162:11"
42,232,0,3,6,"81:22;121:3;162:11"
43,232,0,3,6,"81:22;121:3;162:11"
44,232,0,3,6,"81:22;121:3;162:11"
45,232,0,3,6,"81:22;121:3;162:11"
46,232,0,3,6,"81:22;121:3;162:11"
47,232,0,3,6,"81:22;121:3;162:11"
48,232,0,3,6,"81:22;121:3;162:11"
49,232,0,3,6,"81:22;121:3;162:11"
50,232,0,3,6,"81:22;121:3;162:11"
51,232,0,3,6,"81:22;121:3;162:11"
52,232,0,3,6,"81:22;121:3;162:11"
53,232,0,3,6,"81:22;121:3;162:11"
54,232,0,3,6,"81:22;121:3;162:11"
55,232,0,3,6,"81:22;121:3;162:11"
56,232,0,3,6,"81:22;121:3;162:11"
57,232,0,3,6,"81:22;121:3;162:11"
58,232,0,3,6,"81:22;121:3;162:11"
59,232,0,3,6,"81:22;121:3;162:11"
60,232,0,3,6,"81:22;121:3;162:11"
61,232,0,3,6,"81:22;121:3;162:11"
62,232,0,3,6,"81:22;121:3;162:11"
63,232,0,3,6,"81:22;121:3;162:11"
64,232,0,3,6,"81:22;121:3;162:11"
65,232,0,3,6,"81:22;121:3;162:11"
66,232,0,3,6,"81:22;121:3;162:11"
67,232,0,3,6,"81:22;121:3;162:11"
68,232,0,3,6,"81:22;121:3;162:11"
69,232,0,3,6,"81:22;121:3;162:11"
70,232,0,3,6,"81:22;121:3;162:11"
71,232,0,3,6,"81:22;121:3;162:11"
72,232,0,3,6,"81:22;121:3;162:11"
73,232,0,3,6,"81:22;121:3;162:11"
74,232,0,3,6,"81:22;121:3;162:11"
75,232,0,3,6,"81:22;121:3;162:11"
