M,mstar,total,blocked,reachable,first_reachable_m,last_reachable_m,example_blocked_nz,example_reachable_nz
230,85,84,0,84,2,85,"","81:22;121:3;162:11"
231,85,84,0,84,2,85,"","81:22;121:3;162:11"
232,86,85,0,85,2,86,"","81:22;121:3;162:11"
233,86,85,0,85,2,86,"","81:11;121:6;162:22"
234,86,85,0,85,2,86,"","81:11;121:6;162:22"
235,87,86,0,86,2,87,"","81:11;121:6;162:22"
236,87,86,0,86,2,87,"","81:11;121:6;162:22"
237,87,86,0,86,2,87,"","81:11;121:6;162:22"
238,88,87,0,87,2,88,"","81:11;121:6;162:22"
239,88,87,0,87,2,88,"","81:22;121:15;162:11"
240,88,87,0,87,2,88,"","81:22;121:15;162:11"
241,89,88,0,88,2,89,"","81:22;121:18;162:11"
242,89,88,88,0,-1,-1,"81:22;121:18;162:11;242:9",""
243,90,89,89,0,-1,-1,"121:21;242:27;243:22",""
244,90,89,89,0,-1,-1,"121:21;242:27;243:22",""
245,90,89,89,0,-1,-1,"121:21;242:27;243:22",""
246,91,90,90,0,-1,-1,"121:21;242:27;243:22",""
247,91,90,90,0,-1,-1,"121:21;242:27;243:22",""
248,91,90,90,0,-1,-1,"121:21;242:27;243:22",""
249,92,91,91,0,-1,-1,"121:21;242:27;243:22",""
250,92,91,91,0,-1,-1,"121:21;242:27;243:22",""
251,93,92,92,0,-1,-1,"121:24;242:12;243:11",""
252,93,92,92,0,-1,-1,"121:24;242:12;243:11",""
253,93,92,92,0,-1,-1,"121:24;242:12;243:11",""
254,94,93,93,0,-1,-1,"121:24;242:12;243:11",""
255,94,93,93,0,-1,-1,"121:24;242:12;243:11",""
256,94,93,93,0,-1,-1,"121:15;242:24;243:22",""
257,95,94,94,0,-1,-1,"121:27;242:30;243:11",""
258,95,94,94,0,-1,-1,"121:27;242:30;243:11",""
259,95,94,94,0,-1,-1,"121:27;242:30;243:11",""
260,96,95,95,0,-1,-1,"121:27;242:30;243:11",""
261,96,95,95,0,-1,-1,"121:27;242:30;243:11",""
262,97,96,96,0,-1,-1,"121:27;242:30;243:11",""
263,97,96,96,0,-1,-1,"121:6;242:3;243:22",""
264,97,96,96,0,-1,-1,"121:6;242:3;243:22",""
265,98,97,97,0,-1,-1,"121:6;242:3;243:22",""
266,98,97,97,0,-1,-1,"121:6;242:3;243:22",""
267,98,97,97,0,-1,-1,"121:6;242:3;243:22",""
268,99,98,98,0,-1,-1,"121:6;242:3;243:22",""
269,99,98,98,0,-1,-1,"121:30;242:15;243:11",""
270,100,99,99,0,-1,-1,"121:30;242:15;243:11",""
271,100,99,99,0,-1,-1,"121:12;242:6;243:11",""
272,100,99,99,0,-1,-1,"121:12;242:6;243:11",""
273,101,100,100,0,-1,-1,"121:12;242:6;243:11",""
274,101,100,100,0,-1,-1,"121:12;242:6;243:11",""
275,101,100,100,0,-1,-1,"121:12;242:6;243:11",""
276,102,101,101,0,-1,-1,"121:12;242:6;243:11",""
277,102,101,101,0,-1,-1,"121:24;242:12;243:11",""
278,102,101,101,0,-1,-1,"121:24;242:12;243:11",""
279,103,102,102,0,-1,-1,"121:24;242:12;243:11",""
280,103,102,102,0,-1,-1,"121:24;242:12;243:11",""
281,104,103,103,0,-1,-1,"121:12;242:6;243:22",""
282,104,103,103,0,-1,-1,"121:12;242:6;243:22",""
283,104,103,103,0,-1,-1,"121:30;242:15;243:22",""
284,105,104,104,0,-1,-1,"121:30;242:15;243:22",""
285,105,104,104,0,-1,-1,"121:30;242:15;243:22",""
286,105,104,104,0,-1,-1,"121:30;242:15;243:22",""
287,106,105,105,0,-1,-1,"121:30;242:15;243:22",""
288,106,105,105,0,-1,-1,"121:30;242:15;243:22",""
289,107,106,106,0,-1,-1,"121:15;242:24;243:11",""
290,107,106,106,0,-1,-1,"121:15;242:24;243:11",""
291,107,106,106,0,-1,-1,"121:15;242:24;243:11",""
292,108,107,107,0,-1,-1,"121:15;242:24;243:11",""
